article,date,cluster
"      It remains one of the final reminders that the Vietnam War is not completely over.  Once a month, in a State Department conference room, half a dozen Government officials and one outsider meet behind a closed door to discuss whatever new information and rumor has emerged about the fate of the 2,491 Americans missing in Indochina. The solemn bureacratic chatter is tinged with elements of anger, pain and heartbreak.  ''There is still, simply, a great deal of emotional drain for families,'' said Ann Mills Griffiths, executive director of the National League of Families of American Prisoners and Missing in Southeast Asia. ''A lot of kids want to know what happened to their fathers. The drain continues, after all these years.''  Miss Griffiths, whose brother, Lieut. Comdr. Jim Mills, was shot down off the coast of Vietnam on Sept. 21, 1966, is the only non-Government participant at the monthly meetings, which are attended by representatives of the Pentagon, White House, Defense Intelligence Agency, Joint Chiefs of Staff and other agencies.  Although the meetings are listed as confidential, Miss Griffiths is allowed to attend because of the ''strong interest'' of the families involved. The chairman of the meetings is John Monjo, an Assistant Secretary of State.  Vietnamese 'Not Cooperative'  In the meantime, American and Vietnamese officials meet four times a year in Hanoi to exchange specific information about missing Americans, mostly Air Force and Navy pilots and crew members who were shot down over Vietnam and Laos.  ''The Vietnamese have not been cooperative to any appreciable extent,'' said one State Department official. ''They seem to dribble out remains as it suits their purpose. There's pretty good reason to believe they may have 400 remains, stacked up, ready to turn over at will, somewhere in Hanoi.''  Although the Vietnamese have denied this, the State Department official said that the information was based on ''credible information.''  Why would the Vietnamese hold such remains?  ''Everything they do, as far as we're concerned, is bound to reflect a political advantage they want to gain,'' said the official. ''We assume they would want to trade the remains for something in return.''  On the murky issue of whether surviving Americans are being held against their will, the State Department speaks in qualified tones.  Unconfirmed Sightings  ''It's conceivable,'' said one official. ''Our position is we have received a variety of reports of live sightings. We take action to investigate these. We have not been able to confirm that there are any Americans being held against their will in Indochina.''  In recent years there have been unconfirmed refugee reports of sightings of missing Americans in the jungles of Southeast Asia, as well as repeated accusations that the Hanoi Government was withholding remains. Hanoi has said that the dense jungles in which many Americans were lost during the war made it impossible for them to find further remains. Since the end of the war the Vietnamese have returned 87 bodies.  Officials believe there may be a certain number of American deserters and others, some married to local women, who have remained behind in Ho Chi Minh City, formerly Saigon, at their own choice.  Miss Griffiths said that the revived interest in the fate of Americans in Indochina was the direct result of President Reagan's personal involvement in the issue.  ''It was different under Nixon, Ford and Carter,'' she said. ''That's changed now. This President cares.''  LANGUAGE: ENGLISH                      ",September 27 1983 ,2
"   , Thailand, Feb. 19   The highest-level United States Government delegation to visit Vietnam since the end of the war in that country left Bangkok for Hanoi today to discuss the issue of 2,500 Americans missing in action, a United States Embassy spokesman said.  The team, which is scheduled to return to Bangkok on Wednesday, is headed by Richard L. Armitage, the Assistant Secretary of Defense for International Security Affairs. It was not known whether Hanoi planned to turn over any American dead to the delegation.  LANGUAGE: ENGLISH                      ",February 19 1984 ,2
"   , Thailand, Feb. 22   Vietnam has given a ''clear commitment'' to move more rapidly in determining the status of the nearly 2,500 Americans still listed as missing in the Vietnam war, a member of a United States delegation to Hanoi said today.  The Vietnamese Government no longer links the missing Americans with other issues between the two countries, said Ann Mills Griffiths, executive director of the National League of Missing In Action-Prisoners of War Families.  Mrs. Griffiths spoke at a news conference here after traveling to Hanoi with four American officials. The delegation was led by Richard L. Armitage, a Deputy Assistant Secretary of Defense.  LANGUAGE: ENGLISH                      ",February 22 1984 ,2
"      The Vietnamese Government, lacking formal diplomatic ties with the United States, has asked an organization of American veterans of the Vietnam War to visit Hanoi every three months for talks on a variety of issues.  The Reagan Administration says it opposes the plan, but a State Department official indicated it would probably not try to prevent the veterans group from talking to the Vietnamese. The group, the Vietnam Veterans of America, says it will not seek to negotiate on behalf of the United States Government.  The meetings are expected to touch on such subjects as American servicemen still missing in Southeast Asia, the resettlement of children of American servicemen and Vietnamese women from Vietnam to the United States and cultural exchanges. The date of the first meeting has not yet been set.  The arrangement was disclosed as Vietnam's Foreign Minister, Nguyen Co Thach, postponed a scheduled meeting with American officials to discuss the question of some 2,490 American servicemen still listed as missing. Mr. Thach said Thursday that the meeting was being delayed ''for technical reasons'' until the middle of May, adding that United States hostility to Vietam was hampering the relationship.  ''A good atmosphere is needed,'' said Mr. Thach.  Invited as Intermediaries  Robert O. Muller, a former United States Marine lieutenant who was wounded in Vietnam in 1969 and is now president of the Vietnam Veterans of America, said in an interview that Mr. Thach and other Vietnamese officials had invited the veterans group to send delegations to Hanoi at least every three months to serve as intermediaries between the two Governments.  The invitation was extended when Mr. Thach met Mr. Muller and six other veterans in Hanoi two weeks ago, Mr. Muller said.  ''They expressed to us many times the desire to work directly with the U.S. Government on issues such as Amerasians and Agent Orange information,'' Mr. Muller said. ''But our Government will not talk to them. So we do represent the only channel with which to exchange information.''  One State Department official, referring to the Vietnamese-backed regime in Cambodia, said the United States ''will not consider normalization of relations with Vietnam as long as it occupies Kampuchea.''  Some Informal Contacts  Vietnam invaded Cambodia in 1978, maintaining that it did so in order to save the country from the atrocities of Mr. Pol Pot's regime. Since then the United States has had some informal contacts with Vietnam, including visits by United States officials and Congressmen as well as veterans to Hanoi.  ''We see our role as providing a bridge to Vietnam, a conduit to dialogue,'' Mr. Muller added. ''The U.S. has expressed to us the desire that we do not conduct these discussions with Vietnam.''  Lyall Breckon, director of Vietnam, Laos and Cambodian affairs at the State Department, who met with some of the veterans on Friday, said, ''As a general principle, in the resolution of the P.O.W. and M.I.A. issue, we believe that Government to Government contacts are the correct way to approach and resolve the issue.''  Another State Department official said the Administration opposed the intercession of the veterans group.  ''We try to consult very closely with Vietnam organizations and the families but we think these issues are best handled through Government channels,'' he said, adding that, as far as he knew, the State Department ''will not stand in the way of the veterans.''  List Issues for Talks  Mr. Muller said the veterans would seek to help deal with such issues as missing servicemen, the acceleration of the resettlement of children of American fathers and Vietnamese mothers, the visit of American scientists studying the effects of the herbicide Agent Orange, which was sprayed by United States forces to defoliate jungle battlefields, as well as cultural exchanges and visits.  In the last two years the United States has sought infrequent official visits to Hanoi, mostly by Deputy Assistant Defense Secretary Richard L. Armitage, who has traveled to Hanoi to inquire about Americans missing in action. Mr. Armitage last visited Vietnam in February.  Since the end of the war in 1975, the remains of 88 soldiers have been returned, and the Reagan Administration has not ruled out the possibility that some Americans captured during the war are still alive. The Hanoi Government denies such a possibility.  Mr. Muller said he saw the role of the veterans as ''serving as a backstop, monitoring progress'' as well as lobbying Congress on several issues including the plight of Amerasian children. Mr. Muller pointed out that there are an estimated 25,000 to 40,000 of the children in Vietnam. They are treated as outcasts, but only 1,000 have been resettled so far in the United States.  A key reason for the small number of the children in the United States, Mr. Muller said, was the fact that quota restrictions in the United States had limited their emigration from Vietnam. Mr. Muller said that Vietnamese officials had told him that American officials had suggested that more children would be allowed into the United States if the Vietnamese released a number of prisoners in ''re-education camps'' who had worked for the United States Embassy during the war.  A State Department official said: ''There's absolutely no connection. The Amerasian children are one issue. Another issue is we'd like to see movement on the Vietnamese held in re- education camps to whom we feel a special responsibility. The Vietnamese have so far refused to release people from these camps.''   LANGUAGE: ENGLISH                      ",April 22 1984 ,2
"    PENH, Cambodia, July 1   A senior Vietnamese official says continuing United States unfriendliness toward Vietnam after a war that ravaged the civilian population has hurt Hanoi's efforts to get villagers to cooperate in searching for missing Americans.  ''Members of my family were killed,'' the official said in an interview here last week with visiting foreign journalists. ''Even my friends, even those who are alive, I don't know where they are. Now the Americans are not friendly to us. How can we get the people's support?''  He said that the United States, without reciprocating, is ''imposing'' efforts on Vietnam and Cambodia to resolve cases of Americans listed as missing in action.  BANGKOK, Thailand, July 1 (AP) - A United States Embassy spokesman, responding to the Vietnamese official's remarks, said, ''The Vietnamese authorities have agreed with us at a very senior level that resolution of the P.O.W.-M.I.A. issue is a humanitarian matter to be dealt with separate from other issues.''  LANGUAGE: ENGLISH                      ",July 1 1984 ,2
"      Secretary of State George P. Shultz said today that the Hanoi Government had agreed to meet again next month on the issue of the nearly 2,500 Americans unaccounted for from the Vietnam War.  He made the disclosure in a speech to the Honolulu Council on Foreign Relations. Mr. Shultz arrived on Tuesday at the end of a 10-day trip to Hong Kong, Malaysia, Singapore, Indonesia, Australia and New Zealand.  On Tuesday, Vietnam handed over the remains of what it believed to be eight Americans, and they arrived today at Hickam Air Force Base here from Manila. A special armed forces center here will try to confirm the tentative identifications.  The technical talks with Vietnam on the possible whereabouts of the 2,490 still listed as missing, most of them now believed dead, began in mid-1982 and were to be held every three months.  Talks Were Suspended in '83  But after a session in June 1983, the Vietnamese canceled further meetings after being criticized by the United States Government and by the National League of P.O.W.-M.I.A. Families, which will hold its annual meeting in Washington this weekend to discuss the issue of possible remaining prisoners of war and missing in action.  Aides to Mr. Shultz said about half the missing were believed to have been killed in action. In those cases, where planes were seen crashing, a military aide said, there is no expectation of anything more than receiving the remains if the Vietnamese were to cooperate by sending search teams to areas where the United States knows the planes crashed.  The aide said there were 400 to 500 Americans on which ''a reasonable effort by the Vietnamese ought to come up with positive results.''  An area of particular concern involves 50 to 60 Americans who were photographed alive in Vietnam after being captured or were seen alive soon after falling into Vietnamese hands. The Vietnamese have provided no information on them.  150 'Live Sightings' Reported  In addition, aides said, there have been 150 ''live sightings.'' These sightings, often reported by Vietnamese refugees, are unverified accounts of Vietnamese seeing unidentified whites in remote areas. These purported sightings have generated periodic rumors that some Americans might still be alive in Vietnam.  Aides to Mr. Shultz said that, while it could not be definitively ruled out that some Americans might be alive, there was no supporting evidence to indicate that there were any.  By 1979, the Vietnamese said every living American had been returned. But then came the repatriation of Pfc. Robert R. Garwood of the Marines, who had stayed behind, and his case cast doubt on Vietnam's assurances.  An aide said 17 full-time analysts in the Defense Intelligence Agency keep track of the missing-in-action category and of reports of possible sightings.  Two Criteria for Hanoi Ties  The United States has said that it will not establish diplomatic relations with Vietnam until two criteria are met: All the missing in action must be accounted for, and Vietnam must agree to an acceptable formula for removing its 160,000 troops from Cambodia.  In the Honolulu speech, Mr. Shultz reflected the Reagan Administration's view that Asia was the area offering the most opportunity in the future for American policy makers.  Noting American economic interests and diplomatic efforts in the region, he put particular stress on the need for a strong United States military presence. He said there was ''an enormous concentration of military power'' by nations unfriendly to the United States and its allies. He mentioned Vietnam, North Korea and the Soviet Union.  As to the question of military cooperation with China, an issue he found to be sensitive to Southeast Asian countries like Malaysia and Indonesia that are concerned about possible Chinese expansionism, Mr. Shultz said:  ''Careful discussions have begun on ways in which American technology and equipment might better enable China to counter Soviet military intimidation. This is an important development, but it is also an area where we give careful consideration to the concerns of our allies and other friends in the region.''   LANGUAGE: ENGLISH                      ",July 19 1984 ,2
"      President Reagan said today that Laos had agreed to allow United States officials to excavate a site to search for the remains of 13 American servicemen whose plane crashed there nearly 12 years ago.  Mr. Reagan made the disclosure during a ceremony at the White House in honor of National P.O.W./M.I.A. Recognition Day. At the ceremony, the President said the Administration was determined to recover the remains and press for information on 2,489 Americans unaccounted for from the Vietnam War, as well as 8,177 from the Korean War.  About 600 of the 2,489 were reported dead or missing in Laos. The Vientiane Government met with American officials last year and allowed a technical team to visit the crash site, near the city of Pakse.    Maintained Diplomatic Ties  The United States, which severed diplomatic relations with Vietnam and Cambodia after the Communist takeovers there in 1975, has maintained diplomatic relations with Laos, but has said ties could not be improved until the missing-in-action issue was resolved.  Today, Mr. Reagan said Laos ''seems to have gained a greater understanding of the importance to us of the P.O.W./M.I.A. issue.''  ''We, in return, have gained a greater understanding of their feelings and problems,'' he said. ''This process has led us to discussions of joint crash site searches.''    'Working Out the Details'  ''And in this regard, I want to pass on some good news to you,'' he said. ''Late last night, we were informed by the Government of Laos of official agreement in principle to excavation of a U.S. crash site. We're working out the details now. We welcome this cooperative gesture.''  A Defense Department spokesman said Mr. Reagan was referring to an Air Force gunship that exploded in midair on Dec. 21, 1972, near Pakse, with 16 men aboard. Two parachuted to safety, and one body was found the next day.  At the ceremony today, with many former prisoners of war and families of missing in action in the audience, Mr. Reagan said the prisoners of war ''have been, and are, the bravest of the brave.''  ''They kept a trusting heart, they retained their spirit and their will, and they kept the faith,'' he said. ''They trusted us, and that trust did us great honor.''  He pledged that the Administration would make a major effort on behalf of the missing in action, or those who are assumed to be killed, but whose remains have not been recovered. Mr. Reagan, implicitly seeming to criticize past Administrations, said the families of the missing had for many years ''stood alone in your quest for answers.''  ''Well, today, you're not alone,'' he said. ''And I tell you from my heart, you will never be alone again.''  'Sightings' by Refugees  Of the 2,489 Americans listed as unaccounted for, about 1,150 have been reported killed in action, but their remains have not been recovered. Of the others, American officials have said there is no verified evidence that any are alive, although there have been ''sightings.'' Most such sightings have been by Vietnamese refugees, who say they have seen people they assumed to be Americans.  On Wednesday Secretary of State George P. Shultz said that Vietnam had agreed to resume talks in mid-August on locating the remains and providing information on those unaccounted for in Vietnam.  Mr. Reagan, noting that today was the 30th anniversary of the signing of agreements in Geneva on Indochina, said the hoped-for peace had never come to that part of the world. He said Vietnam and the United States ''still have major differences.''  But he said he was ''encouraged'' by Vietnam's willingness to cooperate on the missing-in-action question.  8,177 Missing in Korea  Mr. Reagan said resolution of that issue, as well as Vietnam's agreement to negotiations on Cambodia with other countries in the area, ''provide the key for ending Vietnam's isolation.''  ''Normal relations with the international community can bring an end to the long suffering of the people of Vietnam,'' he said. ''And I believe it to be in Vietnam's own interest to choose this path. It's a decision that we would welcome.''  Mr. Reagan also addressed the less publicized situation in Korea, where 8,177 Americans are officially listed as unaccounted for. He said the United States had pressed North Korea for an accounting of any missing from that war. He also said some Korean War veterans recently provided information on possible grave locations.  A White House official said the information was on possible sites in South Korea, and talks were going on with the South Korean Government. But neither State Department nor Pentagon officials were able to shed light on why it had taken so long to find sites in South Korea, a United States ally.   LANGUAGE: ENGLISH  GRAPHIC: map of Laos (page 6)                      ",July 20 1984 ,2
"   , Thailand, Jan. 31   Vietnam's Foreign Minister said today that Hanoi would welcome a more active American role in solving the problems of Southeast Asia.  Speaking at a news conference in Hanoi marking the end of a three-day visit to Vietnam by Secretary General Javier Perez de Cuellar, Foreign Minister Nguyen Co Thach said of the Americans:  ''If they can can make a war here, they can easily make a peace.''  For his part, Mr. Perez de Cuellar said he was ''very agreeably surprised'' at the positive responses he got from the Vietnamese on ''three or four'' issues the United States had asked him to raise in Hanoi.  One of these issues involves the nearly 2,500 Americans still missing from the Vietnam War. Vietnamese Foreign Ministry officials say they plan to meet with Americans next month to further explore the technicalities of searching for remains.  Speaking to reporters on his flight back to Bangkok this afternoon, Mr. Perez de Cuellar said he was buoyed by his reception in Hanoi. ''Mr. Thach said the time is right for finding a solution to the problem of Cambodia - and that's enough for me.''   LANGUAGE: ENGLISH                      ",January 30 1985 ,2
"   , Indonesia, March 19   Vietnam is proposing to normalize relations with the United States as a way of eventually settling the Cambodia conflict, Indonesia's Foreign Minister, Mochtar Kusumaatmadja, said today.  Mr. Mochtar described the initiative as one of the ''new elements'' in a five- point proposal he brought back with him Sunday from a trip to Hanoi.  The normalization process would begin, he said, with a Vietnamese response to repeated United States requests for information on American soldiers listed as missing in action in the Vietnam War.  A second ''new element'' in Vietnam's five-point proposal is apparently Hanoi's willingness to drop the issue of foreign military bases in the region from future peace talks on Cambodia.  LANGUAGE: ENGLISH                      ",March 19 1985 ,2
"      The United States and Vietnam will hold talks on the highest level in nine years next Monday in Hanoi, the State Department announced today.  The purpose of the meeting is to lay the groundwork for resolving the problem of the nearly 1,800 Americans still unaccounted for in Vietnam.  Charles E. Redman, a department spokesman, said the United States hoped to build on ''the significant increase'' in cooperation that has become apparent.  The American team will be headed by Richard L. Armitage, Assistant Secretary of Defense, and by Paul D. Wolfowitz, Assistant Secretary of State for East Asian and Pacific affairs. Others in the group are Richard Childress, political and military affairs director of the National Security Council staff at the White House, and Anne Mills Griffiths, executive director of the League of Families of American Prisoners and Missing in Southeast Asia. To Meet With Foreign Minister They will confer with Foreign Minister Nguyen Co Thach and with a Deputy Foreign Minister, Hoang Bich Son, Mr. Redman said.  This is the latest in a series of recent moves toward tackling the emotionally charged issue of the Americans still not unaccounted for from the war. It is the highest-level American delegation to visit Vietnam since Leonard Woodcock, then the president of the United Auto Workers, visited Hanoi in 1977 on behalf of President Jimmy Carter, to discuss normalization of relations.  The United States lists 1,797 Americans as unaccounted for in Vietnam, 700 in the north and 1,097 in the south. In addition, 556 are listed as unaccounted for in Laos, 82 in Cambodia, and 6 in China, for a total of 2,441.  Of this total, half are listed on a roll of killed in action, but bodies not recovered. The other half is on the list of prisoners of war and missing in action, but the Pentagon regards all but one of them as legally dead.  The one American still regarded legally as missing or captured, is Col. Charles Shelton, an Air Force pilot, who is known to have been captured in Laos by Pathet Lao forces on April 29, 1965, a Pentagon spokesman said today. He is listed as missing or captured ''symbolically,'' the spokesman said, to demonstrate American interest in the issue.  Since the end of the Vietnam war in 1975, the United States has received over 800 reports of first-hand sightings of people who are possibly Americans in Indochina. The Pentagon, in a news release last month, said most of these cases had been resolved as either fabrications or involving Americans who had returned to the United States.  But 119 cases are still under investigation,'' it said.  Of these 119, there are 28 from North Vietnam, 74 from South Vietnam, 15 from Laos and 2 from Cambodia.  Until the issue is resolved, the United States Government takes the position that ''although we have been thus far been unable to prove that Americans are still detained against their will, the information available to us precludes ruling out that possibility.''  The United States has made this a priority issue before there can be discussion about the establishment of diplomatic relations with Vietnam. The United States has also said that Vietnam would have to agree to a formula for withdrawing its 160,000 troops from Cambodia and allowing open elections there.  High-Level Talks Proposed  Vietnam said in July that it wanted the issue of the missing American resolved once and for all within two years.  It proposed high-level talks to discuss ways of dealing with the problem. The United States agreed and originally scheduled the Armitage-Wolfowitz mission for Aug. 23. But when Foreign Minister Thach said he had to go to Moscow on that date, only Mr. Childress and Mrs. Griffiths went to Hanoi.  After that visit, the State Department said Sept. 3 that the discussions had been ''the most positive'' to date.  There have since been follow-up talks between Mr. Childress and Vietnamese officials at the United Nations. And last month, a joint United States-Vietnam team searched for remains of Americans in a rural area six miles north of Hanoi where a B-52 bomber crashed in December 1972. That effort ended Dec. 1, with only slim hopes of identifying American servicemen from the unearthed bone fragments. Information About Crash Sites State Department officials said the United States had information about the sites of plane crashes and locations where Americans were seen being taken prisoner, and that increased efforts could make headway in clearing up many cases.  The Vietnamese have been handing over remains over the years. So far, 130 remains identified as Americans have been turned over since 1974, 17 from Laos, and 2 from Cambodia. There is a persistent belief, based on what is said to be plausible information from a Vietnamese refugee, that the remains of several hundred Americans are stored in a Hanoi warehouse mortuary. This has been denied by Vietnam.  In a related matter, the State Department announced that Laos had authorized a team of American technical specialists to examine a site where an Air Force AC-130 gunship crashed during the Vietnam war. A similar team was able to recover the remains of 13 Americans in an excavation last February.  LANGUAGE: ENGLISH                      ",December 30 1985 ,2
